Longitude,Latitude,datetime,UHI Index,geometry,building_count_100m,total_building_area_100m,building_count_500m,total_building_area_500m,building_count_1000m,total_building_area_1000m
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,POINT (591958.1026883307 4518397.525535498),11,19052.408240912275,168,268339.8973308675,586,911215.0101437235
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,POINT (591957.2081561645 4518390.297719459),11,18453.26316089849,168,268634.55209030467,579,904420.8390216145
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,POINT (591956.5838263603 4518383.99811101),12,22397.323103027295,169,268854.57376652193,576,903211.5599332665
-73.909745,40.81123,24-07-2021 15:54,1.012979184,POINT (591954.0369437847 4518373.974093676),13,23242.99688597423,168,259255.65066536443,565,901196.422456332
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,POINT (591953.2303346139 4518371.00299813),13,23242.99688597423,170,262058.550037071,563,901449.4431555448
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,POINT (591952.0227045985 4518366.362635444),13,23242.99688597423,169,260932.1410543948,559,900585.0452837122
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,POINT (591950.6765389732 4518361.53402635),14,23353.314630694353,170,265665.85326262884,551,892441.5234372383
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,POINT (591948.9301933367 4518355.0361610195),13,17173.200968315065,167,273357.1405113311,545,888966.9540718081
-73.909875,40.810865,24-07-2021 15:54,1.019590535,POINT (591943.5762205926 4518333.319509329),12,17279.387025879696,161,260149.58598277566,536,885324.0406818391
-73.9099,40.81081,24-07-2021 15:54,1.019590535,POINT (591941.5435556228 4518327.18780213),11,16179.522754842668,158,257711.6659234589,534,884150.2540036432
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,POINT (591939.2323273782 4518320.867218127),11,16179.522754842668,157,255313.4469916049,530,882873.8048916539
-73.909965,40.810705,24-07-2021 15:54,1.02175425,POINT (591936.2061536436 4518315.463700972),11,16179.522754842668,156,254688.66720493647,525,879838.105764673
-73.90995167,40.81062833,24-07-2021 15:54,1.023917965,POINT (591937.4362972304 4518306.96663746),12,19282.227945786166,154,254207.57871906308,518,873969.394370716
-73.90991333,40.8106,24-07-2021 15:54,1.02175425,POINT (591940.7091569896 4518303.861972073),12,19282.227945786166,154,254207.57871906308,515,870985.3344422895
-73.90974333,40.810515,24-07-2021 15:54,1.02175425,POINT (591955.1650095449 4518294.6045500375),11,18121.64697462023,151,258736.14041266072,514,869184.899998495
-73.90966667,40.810495,24-07-2021 15:54,1.019590535,POINT (591961.6584505338 4518292.464797618),11,18121.64697462023,149,257926.41182515904,513,873219.739020547
-73.90959167,40.81047333,24-07-2021 15:54,1.019590535,POINT (591968.014190094 4518290.137924472),12,18217.131375008288,149,262035.16605178927,511,870598.944475256
-73.90951833,40.810445,24-07-2021 15:54,1.019590535,POINT (591974.2391196985 4518287.069996342),13,19316.995646045314,146,260753.78864110485,510,869297.2423113993
-73.90944,40.81042333,24-07-2021 15:54,1.019590535,POINT (591980.8757346092 4518284.746628212),13,19316.995646045314,143,254704.87023328434,510,869297.2423113993
-73.909385,40.8104,24-07-2021 15:54,1.019590535,POINT (591985.5468934292 4518282.214508578),13,19316.995646045314,143,253636.68550963717,509,869452.8016140248
-73.909345,40.81038,24-07-2021 15:54,1.019590535,POINT (591988.9482907103 4518280.036309441),13,19316.995646045314,142,257805.4037284166,507,864280.0932679166
-73.90925333,40.81033333,24-07-2021 15:54,1.01742682,POINT (591996.7446039601 4518274.951735029),14,23634.528125041485,142,262685.11535790394,507,864170.9890035285
-73.90922333,40.81030667,24-07-2021 15:54,1.019590535,POINT (591999.3117634085 4518272.023726753),16,28731.18440985776,140,259846.07197704163,506,861155.1511642653
-73.90917333,40.81029333,24-07-2021 15:55,1.019590535,POINT (592003.5474139401 4518270.595348426),16,28731.18440985776,140,259846.07197704163,505,859782.0072028043
-73.90911833,40.81028,24-07-2021 15:55,1.019590535,POINT (592008.2047747571 4518269.173330863),16,28731.18440985776,138,258668.47505253844,507,858572.5866394882
-73.909055,40.81026167,24-07-2021 15:55,1.019590535,POINT (592013.5716349678 4518267.205016341),15,27708.289900969517,136,256561.38749264105,505,854895.0523459471
-73.90897833,40.81023833,24-07-2021 15:55,1.019590535,POINT (592020.0705762891 4518264.694555738),14,27600.075199509545,133,251569.33512822865,504,841424.1946270894
-73.908895,40.81021833,24-07-2021 15:55,1.019590535,POINT (592027.1266418307 4518262.561862291),14,27600.075199509545,131,249396.63461048657,505,835591.21226661
-73.90871333,40.81017333,24-07-2021 15:55,1.02175425,POINT (592042.5117082638 4518257.757212524),13,26500.21092847252,130,257801.020324511,498,807853.1064192554
-73.90862167,40.810155,24-07-2021 15:55,1.02175425,POINT (592050.2680701809 4518255.818672581),13,26500.21092847252,129,257528.6792479539,497,794316.4828757033
-73.90853667,40.81013833,24-07-2021 15:55,1.02175425,POINT (592057.4604064168 4518254.057420853),12,25654.537145525584,128,257390.5828374107,499,793947.6130134609
-73.90847,40.81012667,24-07-2021 15:55,1.023917965,POINT (592063.0997828332 4518252.833078341),12,25654.537145525584,127,256230.94830213257,500,793949.365440442
-73.90843167,40.810125,24-07-2021 15:55,1.023917965,POINT (592066.3350228837 4518252.68795161),12,25654.537145525584,126,256108.41276881815,499,791135.2213831729
-73.90818333,40.81009667,24-07-2021 15:55,1.015263105,POINT (592087.3203520126 4518249.803937858),11,23632.755430825106,128,260989.62413578297,501,778514.8007844896
-73.9081,40.81007833,24-07-2021 15:55,1.015263105,POINT (592094.3741574361 4518247.855582684),9,20580.12399306168,126,257312.30951615007,499,777400.0255389336
-73.90800833,40.81006,24-07-2021 15:55,1.01309939,POINT (592102.1313882575 4518245.91710728),9,20580.12399306168,126,257312.30951615007,499,773617.3468267785
-73.90791833,40.81004,24-07-2021 15:55,1.01309939,POINT (592109.7500771838 4518243.791500401),11,24440.163070013914,125,256942.25908080593,498,774539.4170730752
-73.90782333,40.810025,24-07-2021 15:55,1.01309939,POINT (592117.7835791464 4518242.226199808),9,23919.893567635667,125,256942.25908080593,493,764280.2462193064
-73.907525,40.80997833,24-07-2021 15:55,1.010935675,POINT (592143.010734419 4518237.358977642),9,23859.252393462863,120,247527.69741345392,492,736992.8631182247
-73.90740667,40.809905,24-07-2021 15:55,1.03269303,POINT (592153.0927260009 4518229.343096286),10,31836.721697508474,118,242154.6263787335,488,728524.2278711341
-73.90739667,40.80987,24-07-2021 15:55,1.030529316,POINT (592153.9846037955 4518225.468301381),10,31836.721697508474,118,242154.6263787335,487,728413.5342501734
-73.90739833,40.80982833,24-07-2021 15:55,1.030529316,POINT (592153.9022481332 4518220.84081956),11,38499.91851247672,117,241286.41991464922,484,727395.2524209154
-73.90741167,40.80977667,24-07-2021 15:55,1.026201886,POINT (592152.8485638865 4518215.0920806695),11,42465.40632712112,117,244752.1554649475,481,726636.2552398342
-73.907465,40.80964333,24-07-2021 15:55,1.026201886,POINT (592148.534923577 4518200.2341035195),10,38571.31204579891,116,244140.79114964226,478,727918.7012069043
-73.90749167,40.80957167,24-07-2021 15:55,1.026201886,POINT (592146.384578583 4518192.251176991),9,38475.827645410856,116,244140.79114964226,473,714598.0817780341
-73.90751833,40.80950167,24-07-2021 15:55,1.028365601,POINT (592144.2327754548 4518184.45253637),9,38475.827645410856,115,244092.01277103677,460,710827.4664177765
-73.90753833,40.80944167,24-07-2021 15:55,1.028365601,POINT (592142.6288742142 4518177.77098524),9,38475.827645410856,113,241359.37668357437,454,703204.5882636176
-73.90755,40.80939833,24-07-2021 15:55,1.028365601,POINT (592141.704520559 4518172.947597154),10,40874.76266557635,113,241359.37668357437,453,702949.7803533538
-73.90761333,40.80920333,24-07-2021 15:55,1.04134789,POINT (592136.6326707242 4518151.2343154475),9,37084.113792164404,112,242377.27627075303,449,704432.6171420919
-73.90763833,40.80913833,24-07-2021 15:55,1.04134789,POINT (592134.6139412441 4518143.992467232),8,32106.813371695025,110,241259.24980543926,441,700057.3833578245
-73.90766,40.80906667,24-07-2021 15:55,1.03702046,POINT (592132.8852925742 4518136.014801228),8,32106.813371695025,110,241259.24980543926,439,699240.9943269911
-73.90768,40.80899,24-07-2021 15:55,1.03702046,POINT (592131.3044280611 4518127.482737021),9,35673.63497048688,109,240792.51177236252,438,711737.2704971185
-73.90770167,40.80891167,24-07-2021 15:55,1.039184175,POINT (592129.5849975058 4518118.764643555),8,32570.929779543385,109,240989.46073143402,434,708524.379557151
-73.90772667,40.808825,24-07-2021 15:55,1.039184175,POINT (592127.5962252374 4518109.117237668),8,32570.929779543385,107,237355.22979617462,432,707645.3113772086
-73.90775667,40.808735,24-07-2021 15:55,1.026201886,POINT (592125.1903210391 4518099.09491851),7,32047.302446550926,102,228941.2462040246,431,709280.733311377
-73.907785,40.80864333,24-07-2021 15:55,1.026201886,POINT (592122.9275783628 4518088.8889708035),7,32047.302446550926,99,206156.07609945114,431,707122.8442810029
-73.90781833,40.80855,24-07-2021 15:55,1.024038171,POINT (592120.2453914236 4518078.493494979),7,32047.302446550926,102,210505.35890461193,426,703746.1513888588
-73.90785667,40.80845667,24-07-2021 15:55,1.024038171,POINT (592117.1406189129 4518068.092755592),7,32047.302446550926,100,205526.0959240251,421,700506.4825329919
-73.90789333,40.80836,24-07-2021 15:55,1.024038171,POINT (592114.1821590994 4518057.323013923),8,32594.70777628701,100,205526.0959240251,421,699716.8414956443
-73.90792833,40.80826167,24-07-2021 15:55,1.024038171,POINT (592111.3660018203 4518046.37074352),7,25111.361369318194,101,206232.28721153116,415,694055.3081602616
-73.90800833,40.80806667,24-07-2021 15:55,1.019710741,POINT (592104.8878918829 4518024.639974263),8,29421.6460126915,105,209974.07859644058,407,688734.1880261214
-73.90802667,40.80797667,24-07-2021 15:55,1.015383311,POINT (592103.4654155906 4518014.629915815),9,29659.635894101943,103,208209.94192702923,404,700852.5188807724
-73.90804667,40.807885,24-07-2021 15:55,1.015383311,POINT (592101.9052272569 4518004.432729112),8,27260.700873936446,103,207758.48795472903,398,691182.0836811113
-73.90808667,40.80778833,24-07-2021 15:55,1.006728452,POINT (592098.664994978 4517993.659486256),8,27260.700873936446,102,202525.38609885878,394,675711.42386322
-73.90813,40.80769167,24-07-2021 15:55,1.006728452,POINT (592095.143860764 4517982.883856758),8,27260.700873936446,101,200126.63288764327,394,674771.4104770252
-73.90817333,40.80759667,24-07-2021 15:55,1.004564737,POINT (592091.6204205469 4517972.292503817),8,27260.700873936446,101,202752.0051036422,393,674459.5198382932
-73.90821333,40.8075,24-07-2021 15:55,1.004564737,POINT (592088.3801573843 4517961.519266485),8,27260.700873936446,100,202664.51823297158,389,670376.0418148856
-73.908245,40.80741333,24-07-2021 15:55,1.004564737,POINT (592085.8286789089 4517951.864868882),6,16573.301554149715,100,204395.76348652178,388,671339.2368622732
-73.90827,40.80732833,24-07-2021 15:55,1.004564737,POINT (592083.8374871898 4517942.402863553),6,16573.301554149715,97,197203.2364420959,389,688808.4785076422
-73.90829833,40.80723833,24-07-2021 15:55,1.000237307,POINT (592081.5723221689 4517932.382317319),6,16573.301554149715,98,196842.9366436127,390,695332.7635794186
-73.90836333,40.80704833,24-07-2021 15:56,1.000237307,POINT (592076.3523286126 4517911.2223802),7,24004.30821499574,98,198419.45602140177,385,677225.5539306753
-73.90839667,40.806955,24-07-2021 15:56,1.000357514,POINT (592073.6691583588 4517900.826915781),6,19694.023571622434,97,209608.73955848414,383,676214.3788652341
-73.90842833,40.80687167,24-07-2021 15:56,1.000357514,POINT (592071.1138632916 4517891.543304512),5,12120.825736222389,95,205334.12182170484,380,678552.1595866471
-73.908455,40.80679667,24-07-2021 15:56,1.004684943,POINT (592068.9679483864 4517883.189638008),5,12120.825736222389,97,210139.736331455,377,675121.6594320114
-73.90848,40.80674,24-07-2021 15:56,1.004684943,POINT (592066.9375553397 4517876.872516344),5,12120.825736222389,96,209737.37271365407,376,674846.5974293106
-73.90849667,40.80669667,24-07-2021 15:56,1.004684943,POINT (592065.5913478592 4517872.045000303),5,12120.825736222389,95,209687.92851759546,374,674355.1966648529
-73.90853,40.80663333,24-07-2021 15:56,1.006848658,POINT (592062.8675393793 4517864.978703293),5,13563.967601670933,94,202815.27641109633,371,666874.953260106
-73.90859333,40.80654167,24-07-2021 15:56,1.004684943,POINT (592057.6523896644 4517854.737135482),5,23113.029608459903,95,206297.11655612665,365,671186.4411675473
-73.90863333,40.80648333,24-07-2021 15:56,1.004684943,POINT (592054.3590468029 4517848.218881254),5,23113.029608459903,95,206297.11655612665,365,671893.0933581972
-73.908675,40.80643,24-07-2021 15:56,1.004684943,POINT (592050.9179109542 4517842.255028775),5,23113.029608459903,94,205579.71327838642,365,669649.254527153
-73.90871333,40.80638833,24-07-2021 15:56,1.004684943,POINT (592047.7423835929 4517837.589046883),4,22775.427343021922,92,204317.56872374294,363,669137.0376859625
-73.90875333,40.80634667,24-07-2021 15:56,1.004684943,POINT (592044.4259747178 4517832.922423065),4,22775.427343021922,91,204258.85403356884,363,669092.1169485747
-73.9088,40.80631167,24-07-2021 15:56,1.004684943,POINT (592040.5377476187 4517828.988115809),3,22537.437461611484,92,208527.41805443467,363,669023.8342655902
-73.90885167,40.80628333,24-07-2021 15:56,1.004684943,POINT (592036.2185663533 4517825.787879321),3,22537.437461611484,93,208886.94124265492,361,668330.8063984995
-73.90889833,40.80626,24-07-2021 15:56,1.004684943,POINT (592032.3150506641 4517823.149058862),3,22537.437461611484,94,210401.38053881997,360,668222.722491681
-73.90893667,40.80624833,24-07-2021 15:56,1.004684943,POINT (592029.0972113614 4517821.813336623),3,22537.437461611484,93,210331.99033527967,362,669078.3060879847
-73.90896333,40.80624333,24-07-2021 15:56,1.004684943,POINT (592026.8553591946 4517821.230305405),3,22537.437461611484,92,209912.7436599638,364,673024.5218990739
-73.909165,40.80621667,24-07-2021 15:56,1.015503518,POINT (592009.8814023838 4517818.05912239),4,22694.880251677,93,211566.5494619507,363,674366.0410214411
-73.909225,40.806185,24-07-2021 15:56,1.015503518,POINT (592004.864168636 4517814.480502509),4,22694.880251677,95,212192.21114366764,360,671961.8452339462
-73.90930167,40.80615,24-07-2021 15:56,1.015503518,POINT (591998.445419641 4517810.514732491),4,22694.880251677,94,213275.470851282,359,671769.9258769264
-73.90947667,40.80609667,24-07-2021 15:56,1.015503518,POINT (591983.7578646234 4517804.41099706),4,22694.880251677,93,211731.85080272699,354,672020.8228896401
-73.90954667,40.80606833,24-07-2021 15:56,1.013339803,POINT (591977.8925128732 4517801.191562098),4,22694.880251677,92,211046.29720206992,354,677031.9639865548
-73.909595,40.80603667,24-07-2021 15:56,1.013339803,POINT (591973.8596014957 4517797.62631836),5,29918.289083136722,92,211046.29720206992,353,668423.1988233011
-73.90964667,40.80601333,24-07-2021 15:56,1.011176088,POINT (591969.5334701334 4517794.981165329),5,29918.289083136722,91,204708.95142942778,353,668412.6729391437
-73.9097,40.80599,24-07-2021 15:56,1.011176088,POINT (591965.067301049 4517792.335383513),5,29918.289083136722,94,213149.49323331346,352,668237.5049644896
-73.90976,40.80597167,24-07-2021 15:56,1.004684943,POINT (591960.0316119058 4517790.237651068),5,29918.289083136722,94,211600.07519766517,354,670007.8691121548
-73.90987167,40.80591167,24-07-2021 15:56,1.004684943,POINT (591950.695079513 4517783.459990658),5,22819.546406508292,95,202246.03323781167,352,668961.1794168142
-73.90990833,40.80590333,24-07-2021 15:56,1.004684943,POINT (591947.6143203661 4517782.4957256615),5,22819.546406508292,92,193229.1884748254,351,663769.8042033036
-73.90994667,40.805895,24-07-2021 15:56,1.002521229,POINT (591944.3918385885 4517781.530810004),5,22819.546406508292,92,193229.1884748254,352,664199.3594653335
-73.90998333,40.80588667,24-07-2021 15:57,1.002521229,POINT (591941.3110640779 4517780.567657749),5,22819.546406508292,92,193265.52495787933,352,664199.3594653335
-73.910005,40.80574833,24-07-2021 15:57,1.011296294,POINT (591939.6741414818 4517765.187985585),4,22662.103616442775,93,193650.02451811061,345,654320.9303822537
-73.90990833,40.80571167,24-07-2021 15:57,1.011296294,POINT (591947.8788811688 4517761.219796332),4,22662.103616442775,91,193190.88423291605,343,653652.603415998
-73.90979167,40.80562667,24-07-2021 15:57,1.011296294,POINT (591957.8365263455 4517751.906424138),4,22662.103616442775,88,190899.22756937242,340,648511.1569510871
-73.90964,40.80555333,24-07-2021 15:57,1.013460009,POINT (591970.7312079028 4517743.924156019),4,29760.846293071205,88,186998.53868523147,332,630842.348179582
-73.90940833,40.80539,24-07-2021 15:57,1.013460009,POINT (591990.4982375008 4517726.036181693),4,29760.846293071205,85,189709.8465355188,316,611265.0881880643
-73.90931,40.80531333,24-07-2021 15:57,1.011296294,POINT (591998.8983290392 4517717.628331711),4,29760.846293071205,89,193417.5117967291,308,600417.7407807397
-73.90921167,40.80523667,24-07-2021 15:57,1.011296294,POINT (592007.2984257372 4517709.221601149),3,19664.378956546152,88,192503.44626102335,306,598395.384608732
-73.90911833,40.80516667,24-07-2021 15:57,1.011296294,POINT (592015.2684303068 4517701.548960213),3,19664.378956546152,88,192092.6790259305,305,597614.7287801335
-73.90902667,40.80509833,24-07-2021 15:57,1.011296294,POINT (592023.0944483392 4517694.0588386),3,19664.378956546152,88,192445.1765890103,298,580431.8484624058
-73.90895333,40.80503167,24-07-2021 15:58,1.015623724,POINT (592029.372848394 4517686.735987438),3,19664.378956546152,85,187798.73120927834,293,559760.4211194965
-73.90889167,40.80498833,24-07-2021 15:58,1.015623724,POINT (592034.6338189421 4517681.989602091),3,19664.378956546152,86,190919.7860377333,291,556704.0014727683
-73.90883167,40.804955,24-07-2021 15:58,1.015623724,POINT (592039.7409422977 4517678.352674651),3,19664.378956546152,84,184927.82271917094,290,553701.7545202383
-73.90870167,40.80489167,24-07-2021 15:58,1.019951154,POINT (592050.7941156644 4517671.458989375),3,19664.378956546152,80,176444.9480905342,285,547721.626570502
-73.90863833,40.80486167,24-07-2021 15:58,1.019951154,POINT (592056.178385971 4517668.195239164),3,19664.378956546152,78,175379.77388863047,285,547721.626570502
-73.90858,40.80483667,24-07-2021 15:58,1.019951154,POINT (592061.1331505437 4517665.481275061),3,19664.378956546152,76,160913.59354116558,284,544568.8108140465
-73.90852667,40.804815,24-07-2021 15:58,1.019951154,POINT (592065.6615594036 4517663.1317222),3,19664.378956546152,76,160913.59354116558,283,542668.0144556124
-73.90847333,40.80479667,24-07-2021 15:58,1.017787439,POINT (592070.1861983092 4517661.152951631),3,19664.378956546152,76,160913.59354116558,280,538713.7387892222
-73.90842333,40.80478,24-07-2021 15:58,1.017787439,POINT (592074.4268113594 4517659.354950237),3,19664.378956546152,77,161337.03225524208,279,537680.0002639481
-73.90837333,40.80476667,24-07-2021 15:58,1.017787439,POINT (592078.6628097087 4517657.9277203),3,19664.378956546152,77,161337.03225524208,278,536873.2658565225
-73.908315,40.80474,24-07-2021 15:58,1.017787439,POINT (592083.6198982191 4517655.028386528),3,19664.378956546152,77,161337.03225524208,278,534664.9378606307
-73.90824,40.80463667,24-07-2021 15:58,1.017787439,POINT (592090.0891091216 4517643.636640487),3,19664.378956546152,74,152170.90534862663,272,520228.5545308859
-73.90812,40.804555,24-07-2021 15:58,1.013460009,POINT (592100.324221778 4517634.696623772),3,19664.378956546152,71,142723.876878178,265,506883.2886867056
-73.90805,40.80449833,24-07-2021 15:58,1.013460009,POINT (592106.3072000358 4517628.479304413),2,12233.372295700123,69,139266.8484666954,261,504571.8315862166
-73.90797167,40.80446,24-07-2021 15:58,1.013460009,POINT (592112.9674792578 4517624.306641799),2,12233.372295700123,70,157259.213142072,261,504571.8315862166
-73.90789,40.80441167,24-07-2021 15:58,1.011296294,POINT (592119.9233302646 4517619.027407827),2,12233.372295700123,67,155693.3763324915,258,500889.7036106449
-73.90774667,40.80431833,24-07-2021 15:58,1.011296294,POINT (592132.1425860215 4517608.816478403),2,12233.372295700123,67,152226.7486891491,255,495395.0493769504
-73.90767833,40.804275,24-07-2021 15:58,1.011296294,POINT (592137.9671361137 4517604.078295531),0,0.0,65,147465.51741746048,252,493834.06224628986
-73.907605,40.804235,24-07-2021 15:58,1.011296294,POINT (592144.2080047124 4517599.715020987),0,0.0,64,146677.55192025637,250,484334.43969195976
-73.907515,40.80420833,24-07-2021 15:58,1.011296294,POINT (592151.8365917446 4517596.849020323),0,0.0,63,146112.27113712285,249,483722.9832028742
-73.90745167,40.804175,24-07-2021 15:58,1.013460009,POINT (592157.2247250042 4517593.215672947),0,0.0,62,141354.6555618993,248,481181.5329846889
-73.90736167,40.804135,24-07-2021 15:58,1.013460009,POINT (592164.8717667096 4517588.869939667),0,0.0,61,138955.7205417338,246,479582.09786023526
-73.90721833,40.80409667,24-07-2021 15:58,1.013460009,POINT (592177.0158596364 4517584.765681791),0,0.0,60,138075.1083560044,243,478163.04609712795
-73.90718,40.80413667,24-07-2021 15:58,1.013460009,POINT (592180.1937331836 4517589.246332401),0,0.0,59,137849.5545472954,243,478163.04609712795
-73.907135,40.80417833,24-07-2021 15:58,1.013460009,POINT (592183.9319349566 4517593.918272609),0,0.0,59,137849.5545472954,243,478163.04609712795
-73.90709,40.80422333,24-07-2021 15:58,1.00913258,POINT (592187.6655097462 4517598.960983861),0,0.0,59,137849.5545472954,245,480872.8555147282
-73.90704333,40.80427167,24-07-2021 15:58,1.00913258,POINT (592191.5353249767 4517604.3762223795),0,0.0,58,137729.9479611836,247,482388.3584704143
-73.906985,40.80432667,24-07-2021 15:58,1.00913258,POINT (592196.3794615999 4517610.543043491),0,0.0,56,136077.11914148604,249,482971.4793011144
-73.90693,40.80438,24-07-2021 15:58,1.00913258,POINT (592200.9450094362 4517616.520981171),0,0.0,55,141505.234259845,249,482111.2036808705
-73.906875,40.80442667,24-07-2021 15:58,1.006968865,POINT (592205.5197683373 4517621.7596039),0,0.0,56,149482.7035638906,252,488918.05330304446
-73.90682833,40.80446833,24-07-2021 15:59,1.007089071,POINT (592209.3988047967 4517626.433314238),0,0.0,54,148441.57411074493,253,497526.81846629805
-73.90678333,40.8045,24-07-2021 15:59,1.007089071,POINT (592213.1507978102 4517629.9962931555),0,0.0,54,148441.57411074493,254,497993.5564993748
-73.90674167,40.80451333,24-07-2021 15:59,1.007089071,POINT (592216.6464410706 4517631.519861042),0,0.0,53,147054.7272832949,252,494679.9479341395
-73.9067,40.80451,24-07-2021 15:59,1.004925356,POINT (592220.1659904267 4517631.194036132),0,0.0,53,147054.7272832949,251,494220.41332766094
-73.90665667,40.80448833,24-07-2021 15:59,1.004925356,POINT (592223.8509548948 4517628.834059582),0,0.0,52,143551.31108988426,249,490169.0816603415
-73.90660667,40.80445333,24-07-2021 15:59,1.007089071,POINT (592228.1170041211 4517625.001355936),0,0.0,52,143551.31108988426,249,490169.0816603415
-73.90655667,40.80441167,24-07-2021 15:59,1.007089071,POINT (592232.3922790006 4517620.429336741),0,0.0,51,143293.09471577324,247,485087.69252114353
-73.90649,40.80436667,24-07-2021 15:59,1.007089071,POINT (592238.078331341 4517615.504090188),0,0.0,48,129028.21802039212,245,482522.3074522184
-73.906415,40.80432333,24-07-2021 15:59,1.007089071,POINT (592244.4647450543 4517610.771887379),0,0.0,48,129028.21802039212,242,480022.7279627473
-73.90633,40.804275,24-07-2021 15:59,1.007089071,POINT (592251.7015983235 4517605.496279599),0,0.0,48,129028.21802039212,240,486690.7599667264
-73.90624167,40.80422333,24-07-2021 15:59,1.007089071,POINT (592259.2239804425 4517599.853414178),0,0.0,47,128271.52745515683,238,469050.34106397186
